,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.0027015860000005887,12.0,150,0.4,512
1,1,0.01930147900000634,12.0,150,0.4,512
2,2,0.03968786800001567,13.0,150,0.4,512
3,3,0.05834505800001466,13.0,150,0.4,512
4,4,0.0726569500000096,17.0,150,0.4,512
5,5,0.09215857500001334,17.0,150,0.4,512
6,6,0.10498130600001332,17.0,150,0.4,512
7,7,0.11703165099999069,17.0,150,0.4,512
8,8,0.12928077200001553,17.0,150,0.4,512
9,9,0.1459321730000056,17.0,150,0.4,512
10,10,0.15931168099999127,25.0,150,0.4,512
11,11,0.17153800899998828,25.0,150,0.4,512
12,12,0.18400247900001432,25.0,150,0.4,512
13,13,0.19676699900000472,25.0,150,0.4,512
14,14,0.20957323100000735,25.0,150,0.4,512
15,15,0.22182979600000863,25.0,150,0.4,512
16,16,0.23429926299999693,25.0,150,0.4,512
17,17,0.25039046099999496,25.0,150,0.4,512
18,18,0.26313085600000363,29.0,150,0.4,512
19,19,0.2753864569999962,29.0,150,0.4,512
20,20,0.28770553000001087,29.0,150,0.4,512
21,21,0.3002517540000156,29.0,150,0.4,512
22,22,0.31252470999999105,29.0,150,0.4,512
23,23,0.32487019100000225,29.0,150,0.4,512
24,24,0.3373438300000089,30.0,150,0.4,512
25,25,0.34963659199999597,30.0,150,0.4,512
26,26,0.3618384849999927,31.0,150,0.4,512
27,27,0.3741407699999968,31.0,150,0.4,512
28,28,0.3864867199999935,33.0,150,0.4,512
29,29,0.3989361160000158,33.0,150,0.4,512
30,30,0.41112621600001376,36.0,150,0.4,512
31,31,0.42332950900001265,36.0,150,0.4,512
32,32,0.43578698300001406,36.0,150,0.4,512
33,33,0.4534023310000066,36.0,150,0.4,512
34,34,0.46665922900001533,36.0,150,0.4,512
35,35,0.48080748600000334,36.0,150,0.4,512
36,36,0.49384063100001185,36.0,150,0.4,512
37,37,0.5063762119999922,37.0,150,0.4,512
38,38,0.5191380610000067,37.0,150,0.4,512
39,39,0.5320093010000164,37.0,150,0.4,512
40,40,0.5452496839999981,37.0,150,0.4,512
41,41,0.55850039500001,37.0,150,0.4,512
42,42,0.5713256619999925,37.0,150,0.4,512
43,43,0.5847668970000086,41.0,150,0.4,512
44,44,0.5978727750000132,41.0,150,0.4,512
45,45,0.6107946280000078,44.0,150,0.4,512
46,46,0.6236122999999907,44.0,150,0.4,512
47,47,0.6374561910000125,50.0,150,0.4,512
48,48,0.6519965310000089,50.0,150,0.4,512
49,49,0.6649202119999984,50.0,150,0.4,512
50,50,0.6777715960000137,50.0,150,0.4,512
51,51,0.6916353109999989,50.0,150,0.4,512
52,52,0.7061827489999928,50.0,150,0.4,512
53,53,0.7191067040000121,50.0,150,0.4,512
54,54,0.7322726660000001,50.0,150,0.4,512
55,55,0.7457363000000043,50.0,150,0.4,512
56,56,0.7591922260000104,50.0,150,0.4,512
57,57,0.7724570089999929,50.0,150,0.4,512
58,58,0.7856463059999896,52.0,150,0.4,512
59,59,0.79888977600001,52.0,150,0.4,512
60,60,0.8125899990000107,52.0,150,0.4,512
61,61,0.8261033779999991,52.0,150,0.4,512
62,62,0.8398184049999884,52.0,150,0.4,512
63,63,0.8537888019999968,53.0,150,0.4,512
64,64,0.8667418510000005,53.0,150,0.4,512
65,65,0.884938003000002,53.0,150,0.4,512
66,66,0.8981561120000094,53.0,150,0.4,512
67,67,0.9112590889999979,53.0,150,0.4,512
68,68,0.9245181320000029,56.0,150,0.4,512
69,69,0.9390252489999966,56.0,150,0.4,512
70,70,0.9534272729999884,58.0,150,0.4,512
71,71,0.9669367380000153,60.0,150,0.4,512
72,72,0.98124656600001,63.0,150,0.4,512
73,73,0.9949535929999911,63.0,150,0.4,512
74,74,1.0081466809999995,63.0,150,0.4,512
75,75,1.021600871000004,63.0,150,0.4,512
76,76,1.0369882170000153,63.0,150,0.4,512
77,77,1.0530180179999888,63.0,150,0.4,512
78,78,1.068096091000001,63.0,150,0.4,512
79,79,1.082707634000002,63.0,150,0.4,512
80,80,1.098844310000004,63.0,150,0.4,512
81,81,1.1132046559999935,63.0,150,0.4,512
82,82,1.1273798530000079,63.0,150,0.4,512
83,83,1.1411154859999897,64.0,150,0.4,512
84,84,1.155089941,65.0,150,0.4,512
85,85,1.168743132000003,65.0,150,0.4,512
86,86,1.1823599340000044,65.0,150,0.4,512
87,87,1.1963146299999892,65.0,150,0.4,512
88,88,1.2108406380000076,66.0,150,0.4,512
89,89,1.2246293750000063,66.0,150,0.4,512
90,90,1.2386665859999937,66.0,150,0.4,512
91,91,1.2524578869999914,66.0,150,0.4,512
92,92,1.2675897409999948,68.0,150,0.4,512
93,93,1.2814604520000046,68.0,150,0.4,512
94,94,1.295259049000009,68.0,150,0.4,512
95,95,1.3089803999999958,68.0,150,0.4,512
96,96,1.3224111620000087,69.0,150,0.4,512
97,97,1.335882166999994,69.0,150,0.4,512
98,98,1.3498932649999915,69.0,150,0.4,512
99,99,1.363622781999993,69.0,150,0.4,512
100,100,1.3785086590000049,69.0,150,0.4,512
101,101,1.392328966000008,69.0,150,0.4,512
102,102,1.405904238000005,69.0,150,0.4,512
103,103,1.4196761960000117,69.0,150,0.4,512
104,104,1.4337110669999902,69.0,150,0.4,512
105,105,1.4481497660000002,69.0,150,0.4,512
106,106,1.461839776000005,69.0,150,0.4,512
107,107,1.475432331999997,69.0,150,0.4,512
108,108,1.4890738359999887,69.0,150,0.4,512
109,109,1.503101364999992,69.0,150,0.4,512
110,110,1.5186313650000045,69.0,150,0.4,512
111,111,1.5331035309999947,69.0,150,0.4,512
112,112,1.5473196800000153,74.0,150,0.4,512
113,113,1.5612058830000137,74.0,150,0.4,512
114,114,1.5761810550000064,74.0,150,0.4,512
115,115,1.5925812940000128,74.0,150,0.4,512
116,116,1.6068835830000125,74.0,150,0.4,512
117,117,1.6210002550000127,74.0,150,0.4,512
118,118,1.6353747779999992,74.0,150,0.4,512
119,119,1.649821172000003,74.0,150,0.4,512
120,120,1.6639484570000036,74.0,150,0.4,512
121,121,1.6783009000000106,74.0,150,0.4,512
122,122,1.6925871589999986,74.0,150,0.4,512
123,123,1.7068108310000127,75.0,150,0.4,512
124,124,1.720838950000001,75.0,150,0.4,512
125,125,1.735036258000008,75.0,150,0.4,512
126,126,1.7492132870000034,75.0,150,0.4,512
127,127,1.7633705519999978,76.0,150,0.4,512
128,128,1.77755406899999,76.0,150,0.4,512
129,129,1.796859669000014,80.0,150,0.4,512
130,130,1.812179895000014,80.0,150,0.4,512
131,131,1.8272555750000095,80.0,150,0.4,512
132,132,1.844419758000015,80.0,150,0.4,512
133,133,1.8599663219999911,80.0,150,0.4,512
134,134,1.8750513450000028,80.0,150,0.4,512
135,135,1.8898625479999964,80.0,150,0.4,512
136,136,1.9041951689999905,80.0,150,0.4,512
137,137,1.9185437909999905,80.0,150,0.4,512
138,138,1.9330227680000007,80.0,150,0.4,512
139,139,1.9474537469999973,83.0,150,0.4,512
140,140,1.9618355880000138,85.0,150,0.4,512
141,141,1.9760814670000002,85.0,150,0.4,512
142,142,1.9904455230000053,85.0,150,0.4,512
143,143,2.0048422650000077,85.0,150,0.4,512
144,144,2.019810868999997,86.0,150,0.4,512
145,145,2.0351703590000056,86.0,150,0.4,512
146,146,2.049330948000005,86.0,150,0.4,512
147,147,2.063433935000006,86.0,150,0.4,512
148,148,2.077523511999999,86.0,150,0.4,512
149,149,2.0916386350000096,86.0,150,0.4,512
150,150,2.105825804999995,86.0,150,0.4,512
151,151,2.1198442700000157,90.0,150,0.4,512
152,152,2.134502846999993,90.0,150,0.4,512
153,153,2.1486568619999957,90.0,150,0.4,512
