,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.003360583000016959,11.0,True,200,0.25,512
1,1,0.06394362300000012,13.0,True,200,0.25,512
2,2,0.11757979399999385,13.0,True,200,0.25,512
3,3,0.17941134900001998,13.0,True,200,0.25,512
4,4,0.22041983799999798,13.0,True,200,0.25,512
5,5,0.26742696999997406,13.0,True,200,0.25,512
6,6,0.30576232200002096,16.0,True,200,0.25,512
7,7,0.3470442999999932,16.0,True,200,0.25,512
8,8,0.4286949479999862,16.0,True,200,0.25,512
9,9,0.5153684580000117,16.0,True,200,0.25,512
10,10,0.5962121229999866,16.0,True,200,0.25,512
11,11,0.6818775630000005,16.0,True,200,0.25,512
12,12,0.7606330579999963,16.0,True,200,0.25,512
13,13,0.8409032339999953,16.0,True,200,0.25,512
14,14,0.9208539900000119,16.0,True,200,0.25,512
15,15,0.9994539769999733,16.0,True,200,0.25,512
16,16,1.0771996020000074,16.0,True,200,0.25,512
17,17,1.1698137160000215,16.0,True,200,0.25,512
18,18,1.2531615600000237,16.0,True,200,0.25,512
19,19,1.3333889319999912,16.0,True,200,0.25,512
20,20,1.4146879570000124,16.0,True,200,0.25,512
21,21,1.4944999009999833,16.0,True,200,0.25,512
22,22,1.571968317000028,16.0,True,200,0.25,512
23,23,1.6535199290000264,16.0,True,200,0.25,512
24,24,1.734776217999979,16.0,True,200,0.25,512
25,25,1.8157204510000042,16.0,True,200,0.25,512
26,26,1.8939885120000213,16.0,True,200,0.25,512
27,27,1.9725997460000144,16.0,True,200,0.25,512
28,28,2.0531271479999873,16.0,True,200,0.25,512
29,29,2.1297818389999748,16.0,True,200,0.25,512
30,30,2.2078214389999857,16.0,True,200,0.25,512
31,31,2.292384765999998,16.0,True,200,0.25,512
32,32,2.3854012500000294,16.0,True,200,0.25,512
33,33,2.4752591120000034,16.0,True,200,0.25,512
34,34,2.552550497000027,16.0,True,200,0.25,512
35,35,2.6236144320000108,16.0,True,200,0.25,512
36,36,2.702422893000005,16.0,True,200,0.25,512
37,37,2.7780406289999746,16.0,True,200,0.25,512
38,38,2.848208543999988,16.0,True,200,0.25,512
39,39,2.929927747000022,16.0,True,200,0.25,512
40,40,3.0096546130000092,16.0,True,200,0.25,512
41,41,3.08797733199998,16.0,True,200,0.25,512
42,42,3.1660731410000267,16.0,True,200,0.25,512
43,43,3.246443924999994,16.0,True,200,0.25,512
44,44,3.324453156000004,16.0,True,200,0.25,512
45,45,3.4040685869999834,16.0,True,200,0.25,512
46,46,3.4860937660000104,16.0,True,200,0.25,512
47,47,3.570470580999995,16.0,True,200,0.25,512
48,48,3.6538456569999767,16.0,True,200,0.25,512
49,49,3.7367007860000285,16.0,True,200,0.25,512
50,50,3.8195713950000254,16.0,True,200,0.25,512
51,51,3.9031373170000165,16.0,True,200,0.25,512
52,52,3.9892824849999897,16.0,True,200,0.25,512
53,53,4.072529417999988,16.0,True,200,0.25,512
54,54,4.156135855999992,16.0,True,200,0.25,512
55,55,4.241853902999992,16.0,True,200,0.25,512
56,56,4.3396835010000245,16.0,True,200,0.25,512
57,57,4.422572231999993,16.0,True,200,0.25,512
58,58,4.501506268000014,16.0,True,200,0.25,512
59,59,4.580663833000017,16.0,True,200,0.25,512
60,60,4.658296794000023,16.0,True,200,0.25,512
61,61,4.73431644599998,16.0,True,200,0.25,512
62,62,4.810978788999989,16.0,True,200,0.25,512
63,63,4.886199662000024,16.0,True,200,0.25,512
64,64,4.9648997180000265,16.0,True,200,0.25,512
65,65,5.055507594999995,16.0,True,200,0.25,512
66,66,5.1335579290000055,16.0,True,200,0.25,512
67,67,5.209734364999974,16.0,True,200,0.25,512
68,68,5.287409131999993,16.0,True,200,0.25,512
69,69,5.363943505000009,16.0,True,200,0.25,512
70,70,5.4407818369999745,16.0,True,200,0.25,512
71,71,5.520102656000006,16.0,True,200,0.25,512
72,72,5.603392487999997,16.0,True,200,0.25,512
73,73,5.6826251680000155,16.0,True,200,0.25,512
74,74,5.76003485199999,16.0,True,200,0.25,512
75,75,5.837592934999975,16.0,True,200,0.25,512
76,76,5.915061605999995,16.0,True,200,0.25,512
77,77,5.99435902099998,16.0,True,200,0.25,512
78,78,6.07396541899999,16.0,True,200,0.25,512
79,79,6.155882886000029,16.0,True,200,0.25,512
80,80,6.23835163199999,16.0,True,200,0.25,512
81,81,6.321396261000018,16.0,True,200,0.25,512
82,82,6.403987093000012,16.0,True,200,0.25,512
83,83,6.483347159999994,16.0,True,200,0.25,512
84,84,6.562666599000011,16.0,True,200,0.25,512
85,85,6.643006093999986,16.0,True,200,0.25,512
86,86,6.721684763999974,16.0,True,200,0.25,512
87,87,6.803150066000001,16.0,True,200,0.25,512
88,88,6.878974001000017,16.0,True,200,0.25,512
89,89,6.964790347000019,16.0,True,200,0.25,512
