,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,3.0,0.0030084619999968254,"[1, 1, 0, 0, 0]",True,200,0.25,512
1,1,0.0,0.017560309000003826,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
2,2,0.0,0.025765109999980496,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
3,4,0.0,0.0371676480000076,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
4,8,0.0,0.053359137000001056,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
5,16,0.0,0.08208584700000188,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
6,32,0.0,0.13581435000000397,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
7,64,0.0,0.2398669439999992,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
8,128,0.0,0.4987034410000035,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
9,256,0.0,0.9387706790000152,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
10,512,0.0,1.6698861890000103,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
11,0,0.0,0.0028466460000231564,"[0, 1, 1, 0, 1]",True,200,0.5,512
12,1,0.0,0.006022770000015498,"[0, 1, 1, 0, 1]",True,200,0.5,512
13,2,0.0,0.01670787900002324,"[0, 1, 1, 0, 1]",True,200,0.5,512
14,4,0.0,0.031896892000020216,"[0, 1, 1, 0, 1]",True,200,0.5,512
15,8,0.0,0.05209938900003408,"[0, 1, 1, 0, 1]",True,200,0.5,512
16,16,0.0,0.08478523299999097,"[0, 1, 1, 0, 1]",True,200,0.5,512
17,32,0.0,0.14271668499998214,"[0, 1, 1, 0, 1]",True,200,0.5,512
18,64,0.0,0.25018149499999254,"[0, 1, 1, 0, 1]",True,200,0.5,512
19,128,0.0,0.45665410499998416,"[0, 1, 1, 0, 1]",True,200,0.5,512
20,256,0.0,0.8706087410000123,"[0, 1, 1, 0, 1]",True,200,0.5,512
21,512,0.0,1.646226774000013,"[0, 1, 1, 0, 1]",True,200,0.5,512
22,0,3.0,0.002895082000009097,"[1, 1, 1, 0, 1]",True,200,0.75,512
23,1,0.0,0.006297055999993972,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
24,2,0.0,0.01933473200000435,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
25,4,0.0,0.03600442100002965,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
26,8,0.0,0.05828970200002459,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
27,16,0.0,0.09377666800003226,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
28,32,0.0,0.1550714030000222,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
29,64,0.0,0.26595009300001493,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
30,128,0.0,0.47747183900003165,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
31,256,0.0,0.8689784780000309,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
32,512,0.0,1.6114201519999938,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
