,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,3.0,9.797499999963932e-05,"[1, 1, 1, 0, 1]",25,512,0
1,1,3.0,0.0003850019999998011,"[1, 1, 1, 0, 1]",25,512,0
2,2,3.0,0.03708619699999982,"[1, 1, 1, 0, 1]",25,512,0
3,4,3.0,0.041716584,"[1, 1, 1, 0, 1]",25,512,0
4,8,3.0,0.04630134499999983,"[1, 1, 1, 0, 1]",25,512,0
5,16,0.0,0.05093513099999969,"[0, 1, 1, 0, 1]",25,512,0
6,32,0.0,0.05589702199999991,"[0, 1, 1, 0, 1]",25,512,0
7,64,0.0,0.06172662600000001,"[0, 1, 1, 0, 1]",25,512,0
8,128,0.0,0.06914584000000001,"[0, 1, 1, 0, 1]",25,512,0
9,256,0.0,0.07948412399999993,"[0, 1, 1, 0, 1]",25,512,0
10,512,0.0,0.09867405299999987,"[0, 1, 1, 0, 1]",25,512,0
11,0,3.0,0.10642401299999982,"[1, 1, 1, 0, 1]",25,512,1
12,1,0.0,0.10666100499999986,"[0, 1, 1, 0, 1]",25,512,1
13,2,0.0,0.11328629899999987,"[0, 1, 1, 0, 1]",25,512,1
14,4,0.0,0.11965236399999979,"[0, 1, 1, 0, 1]",25,512,1
15,8,0.0,0.12594595099999983,"[0, 1, 1, 0, 1]",25,512,1
16,16,0.0,0.13225889599999974,"[0, 1, 1, 0, 1]",25,512,1
17,32,0.0,0.13908541399999974,"[0, 1, 1, 0, 1]",25,512,1
18,64,0.0,0.1466748189999998,"[0, 1, 1, 0, 1]",25,512,1
19,128,0.0,0.15640164700000003,"[0, 1, 1, 0, 1]",25,512,1
20,256,0.0,0.17260070999999977,"[0, 1, 1, 0, 1]",25,512,1
21,512,0.0,0.19966504699999987,"[0, 1, 1, 0, 1]",25,512,1
22,0,3.0,0.20891362299999994,"[1, 1, 0, 0, 0]",25,512,2
23,1,2.0,0.20917225199999967,"[1, 1, 0, 1, 0]",25,512,2
24,2,2.0,0.21806338499999978,"[1, 1, 0, 1, 0]",25,512,2
25,4,2.0,0.2269931129999998,"[1, 1, 0, 1, 0]",25,512,2
26,8,0.0,0.23596483599999996,"[1, 0, 0, 1, 0]",25,512,2
27,16,0.0,0.2455488769999996,"[1, 0, 0, 1, 0]",25,512,2
28,32,0.0,0.2560414569999998,"[1, 0, 0, 1, 0]",25,512,2
29,64,0.0,0.26746500399999995,"[1, 0, 0, 1, 0]",25,512,2
30,128,0.0,0.2821374559999996,"[1, 0, 0, 1, 0]",25,512,2
31,256,0.0,0.30403717699999966,"[1, 0, 0, 1, 0]",25,512,2
32,512,0.0,0.3417149639999999,"[1, 0, 0, 1, 0]",25,512,2
33,0,4.0,0.3533624449999997,"[1, 0, 1, 1, 1]",25,512,3
34,1,3.0,0.35362427899999993,"[0, 0, 1, 1, 1]",25,512,3
35,2,3.0,0.36477539400000003,"[0, 0, 1, 1, 1]",25,512,3
36,4,3.0,0.3758789509999998,"[0, 0, 1, 1, 1]",25,512,3
37,8,2.0,0.388346367,"[0, 0, 1, 0, 1]",25,512,3
38,16,2.0,0.4003047849999999,"[0, 0, 1, 0, 1]",25,512,3
39,32,0.0,0.41318761299999984,"[0, 1, 1, 0, 1]",25,512,3
40,64,0.0,0.4293648489999997,"[0, 1, 1, 0, 1]",25,512,3
41,128,0.0,0.44947528299999995,"[0, 1, 1, 0, 1]",25,512,3
42,256,0.0,0.47696114399999967,"[0, 1, 1, 0, 1]",25,512,3
43,512,0.0,0.5244286109999998,"[0, 1, 1, 0, 1]",25,512,3
44,0,2.0,0.5382862529999999,"[0, 1, 1, 0, 0]",25,512,4
45,1,0.0,0.5385628159999998,"[0, 1, 1, 0, 1]",25,512,4
46,2,0.0,0.5519729449999997,"[0, 1, 1, 0, 1]",25,512,4
47,4,0.0,0.5668070959999998,"[0, 1, 1, 0, 1]",25,512,4
48,8,0.0,0.5818139979999999,"[0, 1, 1, 0, 1]",25,512,4
49,16,0.0,0.5968710609999999,"[0, 1, 1, 0, 1]",25,512,4
50,32,0.0,0.613489,"[0, 1, 1, 0, 1]",25,512,4
51,64,0.0,0.6313812409999997,"[0, 1, 1, 0, 1]",25,512,4
52,128,0.0,0.6543632399999999,"[0, 1, 1, 0, 1]",25,512,4
53,256,0.0,0.6885844519999997,"[0, 1, 1, 0, 1]",25,512,4
54,512,0.0,0.7485375079999996,"[0, 1, 1, 0, 1]",25,512,4
55,0,3.0,0.7686166549999998,"[0, 0, 1, 1, 0]",25,512,5
56,1,3.0,0.7689698789999997,"[0, 0, 1, 1, 0]",25,512,5
57,2,3.0,0.787246374,"[0, 0, 1, 1, 0]",25,512,5
58,4,3.0,0.806766133,"[0, 0, 1, 1, 0]",25,512,5
59,8,2.0,0.8270239799999999,"[1, 0, 1, 1, 0]",25,512,5
60,16,0.0,0.8463559429999998,"[1, 0, 0, 1, 0]",25,512,5
61,32,0.0,0.8680359069999999,"[1, 0, 0, 1, 0]",25,512,5
62,64,0.0,0.8911312309999997,"[1, 0, 0, 1, 0]",25,512,5
63,128,0.0,0.91903975,"[1, 0, 0, 1, 0]",25,512,5
64,256,0.0,0.9595829179999997,"[1, 0, 0, 1, 0]",25,512,5
65,512,0.0,1.026841846,"[1, 0, 0, 1, 0]",25,512,5
66,0,2.0,1.0459345839999998,"[0, 0, 1, 0, 1]",25,512,6
67,1,0.0,1.0462761859999996,"[0, 1, 1, 0, 1]",25,512,6
68,2,0.0,1.0652685469999996,"[0, 1, 1, 0, 1]",25,512,6
69,4,0.0,1.0837912639999998,"[0, 1, 1, 0, 1]",25,512,6
70,8,0.0,1.1028744209999997,"[0, 1, 1, 0, 1]",25,512,6
71,16,0.0,1.1232325559999996,"[0, 1, 1, 0, 1]",25,512,6
72,32,0.0,1.1449539299999998,"[0, 1, 1, 0, 1]",25,512,6
73,64,0.0,1.170044962,"[0, 1, 1, 0, 1]",25,512,6
74,128,0.0,1.204740969,"[0, 1, 1, 0, 1]",25,512,6
75,256,0.0,1.25325958,"[0, 1, 1, 0, 1]",25,512,6
76,512,0.0,1.331855595,"[0, 1, 1, 0, 1]",25,512,6
77,0,4.0,1.355452101,"[1, 1, 1, 1, 0]",25,512,7
78,1,2.0,1.3558798249999997,"[1, 0, 1, 1, 0]",25,512,7
79,2,0.0,1.3772103839999996,"[1, 0, 0, 1, 0]",25,512,7
80,4,0.0,1.3987490949999999,"[1, 0, 0, 1, 0]",25,512,7
81,8,0.0,1.4202785469999997,"[1, 0, 0, 1, 0]",25,512,7
82,16,0.0,1.4439481279999997,"[1, 0, 0, 1, 0]",25,512,7
83,32,0.0,1.4686660969999998,"[1, 0, 0, 1, 0]",25,512,7
84,64,0.0,1.4969213419999998,"[1, 0, 0, 1, 0]",25,512,7
85,128,0.0,1.53426954,"[1, 0, 0, 1, 0]",25,512,7
86,256,0.0,1.5862876469999998,"[1, 0, 0, 1, 0]",25,512,7
87,512,0.0,1.6706894859999997,"[1, 0, 0, 1, 0]",25,512,7
88,0,3.0,1.697404384,"[1, 0, 0, 0, 0]",25,512,8
89,1,3.0,1.697844424,"[1, 0, 0, 0, 0]",25,512,8
90,2,0.0,1.723542685,"[1, 0, 0, 1, 0]",25,512,8
91,4,0.0,1.7503983779999999,"[1, 0, 0, 1, 0]",25,512,8
92,8,0.0,1.7758013939999997,"[1, 0, 0, 1, 0]",25,512,8
93,16,0.0,1.8045643459999998,"[1, 0, 0, 1, 0]",25,512,8
94,32,0.0,1.8324869339999998,"[1, 0, 0, 1, 0]",25,512,8
95,64,0.0,1.8648268559999996,"[1, 0, 0, 1, 0]",25,512,8
96,128,0.0,1.906606847,"[1, 0, 0, 1, 0]",25,512,8
97,256,0.0,1.9663074629999997,"[1, 0, 0, 1, 0]",25,512,8
98,512,0.0,2.0640285279999997,"[1, 0, 0, 1, 0]",25,512,8
99,0,4.0,2.090199243,"[0, 1, 0, 0, 0]",25,512,9
100,1,4.0,2.0907269939999997,"[0, 1, 0, 0, 0]",25,512,9
101,2,4.0,2.1173533339999997,"[0, 1, 0, 0, 0]",25,512,9
102,4,2.0,2.143801367,"[1, 1, 0, 1, 0]",25,512,9
103,8,0.0,2.170717207,"[1, 0, 0, 1, 0]",25,512,9
104,16,0.0,2.201684944,"[1, 0, 0, 1, 0]",25,512,9
105,32,0.0,2.2337433549999997,"[1, 0, 0, 1, 0]",25,512,9
106,64,0.0,2.273504407,"[1, 0, 0, 1, 0]",25,512,9
107,128,0.0,2.3196564879999997,"[1, 0, 0, 1, 0]",25,512,9
108,256,0.0,2.38566945,"[1, 0, 0, 1, 0]",25,512,9
109,512,0.0,2.496586271,"[1, 0, 0, 1, 0]",25,512,9
110,0,0.0,2.526549491,"[0, 1, 1, 0, 1]",25,512,10
111,1,0.0,2.527041035,"[0, 1, 1, 0, 1]",25,512,10
112,2,0.0,2.5584578899999997,"[0, 1, 1, 0, 1]",25,512,10
113,4,0.0,2.588280694,"[0, 1, 1, 0, 1]",25,512,10
114,8,0.0,2.6185086159999997,"[0, 1, 1, 0, 1]",25,512,10
