,Iteration,Time,Fitness,Temperature,max_iters
0,0,8.482600000547791e-05,2.0,1,512
1,1,0.0010437480000007326,4.0,1,512
2,2,0.007324449000009281,3.0,1,512
3,3,0.012072122000006402,3.0,1,512
4,4,0.012131076999992274,3.0,1,512
5,5,0.017394578999983423,3.0,1,512
6,6,0.01745193200000017,3.0,1,512
7,7,0.017497671999990416,0.0,1,512
8,8,0.017535965000007536,0.0,1,512
9,9,0.021953015000008236,0.0,1,512
10,10,0.022005944999989424,0.0,1,512
11,11,0.022046582000001536,0.0,1,512
12,12,0.022083471000001964,0.0,1,512
13,13,0.02212011899999311,0.0,1,512
14,14,0.022156153999986827,0.0,1,512
15,15,0.022191646000010223,0.0,1,512
16,16,0.02222689799998534,0.0,1,512
17,17,0.026970223999995824,0.0,1,512
18,18,0.0270237130000055,0.0,1,512
19,19,0.027065915000008545,0.0,1,512
20,20,0.027105161000008593,0.0,1,512
21,21,0.027142822000001843,0.0,1,512
22,22,0.027179861999997,0.0,1,512
23,23,0.027216336999998703,0.0,1,512
24,24,0.027252724999982547,0.0,1,512
25,25,0.02728916999998887,0.0,1,512
26,26,0.027325531000002456,0.0,1,512
27,27,0.02736182300000678,3.0,1,512
28,28,0.027404810999996698,3.0,1,512
29,29,0.027448139999989962,3.0,1,512
30,30,0.027490866999983155,3.0,1,512
31,31,0.027528684999992947,3.0,1,512
32,32,0.02756553099999337,0.0,1,512
33,33,0.032175848999997925,0.0,1,512
34,34,0.03223058099999321,0.0,1,512
35,35,0.03227294100000222,2.0,1,512
36,36,0.03231736300000421,4.0,1,512
37,37,0.032360511000007364,2.0,1,512
38,38,0.032399456000007376,4.0,1,512
39,39,0.032441001999984564,2.0,1,512
40,40,0.03247849799998903,0.0,1,512
41,41,0.032515582999991466,0.0,1,512
42,42,0.03255336300000522,0.0,1,512
43,43,0.03259021599998846,2.0,1,512
44,44,0.032632290000009334,2.0,1,512
45,45,0.03266956699999923,2.0,1,512
46,46,0.03270666800000299,2.0,1,512
47,47,0.03274465300000884,3.0,1,512
48,48,0.032787233999982845,3.0,1,512
49,49,0.032824247000007745,3.0,1,512
50,50,0.0328662599999916,2.0,1,512
51,51,0.0329047790000061,2.0,1,512
52,52,0.032941911999984086,2.0,1,512
53,53,0.03297919400000637,2.0,1,512
54,54,0.03301618800000483,2.0,1,512
55,55,0.033052978999990046,0.0,1,512
56,56,0.033090421999986575,0.0,1,512
57,57,0.033126938999998856,0.0,1,512
58,58,0.03316361500000653,0.0,1,512
59,59,0.033201910999991924,0.0,1,512
60,60,0.03323864499998308,0.0,1,512
61,61,0.03327541900000597,0.0,1,512
62,62,0.033312155000004395,0.0,1,512
63,63,0.03334952200000885,2.0,1,512
64,64,0.0333911369999953,2.0,1,512
65,65,0.03891463599998701,2.0,1,512
66,66,0.038970890000001646,2.0,1,512
67,67,0.039014594000008174,2.0,1,512
68,68,0.03905537200000708,0.0,1,512
69,69,0.03909589599999208,0.0,1,512
70,70,0.03913488000000598,0.0,1,512
71,71,0.039173149999982115,0.0,1,512
72,72,0.039211102999985314,0.0,1,512
73,73,0.03925066700000457,0.0,1,512
74,74,0.03928826899999649,0.0,1,512
75,75,0.0393256899999983,0.0,1,512
76,76,0.039364521999999624,0.0,1,512
77,77,0.0394020279999836,0.0,1,512
78,78,0.039439057000009825,0.0,1,512
79,79,0.039476739000008365,0.0,1,512
80,80,0.03951416999998969,0.0,1,512
81,81,0.03955152199998224,0.0,1,512
82,82,0.0395883139999853,0.0,1,512
83,83,0.03962538400000426,0.0,1,512
84,84,0.03966270300000474,0.0,1,512
85,85,0.03970023200000128,3.0,1,512
86,86,0.039742420999999695,3.0,1,512
87,87,0.039785961000006864,3.0,1,512
88,88,0.03982841900000267,3.0,1,512
89,89,0.03986879400000021,3.0,1,512
90,90,0.03991199499998288,3.0,1,512
91,91,0.03995548299999996,2.0,1,512
92,92,0.03999419699999862,2.0,1,512
93,93,0.04003147899999249,2.0,1,512
94,94,0.04006903600000555,2.0,1,512
95,95,0.040106954999998834,0.0,1,512
96,96,0.040145504000008714,0.0,1,512
97,97,0.04018355599998813,0.0,1,512
98,98,0.04022150099999067,0.0,1,512
99,99,0.04025928999999451,0.0,1,512
100,100,0.04029654799998639,0.0,1,512
101,101,0.04033422500000938,0.0,1,512
102,102,0.0403720900000053,0.0,1,512
103,103,0.04040952899998729,0.0,1,512
104,104,0.04044705100000101,0.0,1,512
105,105,0.04048449199999027,0.0,1,512
106,106,0.04052171999998677,0.0,1,512
107,107,0.04056118899998751,0.0,1,512
108,108,0.040598899000002575,0.0,1,512
109,109,0.04063649599999053,0.0,1,512
110,110,0.040674203999998326,0.0,1,512
111,111,0.04071226100001013,0.0,1,512
112,112,0.04074999599998819,0.0,1,512
113,113,0.04078776699998343,0.0,1,512
114,114,0.040825775999991265,0.0,1,512
115,115,0.04086390000000506,0.0,1,512
116,116,0.04090195899999571,0.0,1,512
117,117,0.040940288999991026,0.0,1,512
118,118,0.040978496000008136,0.0,1,512
119,119,0.04101638500000604,0.0,1,512
120,120,0.041054024999994,0.0,1,512
121,121,0.041092077000001836,0.0,1,512
122,122,0.04112985099999378,0.0,1,512
123,123,0.04116788999999699,0.0,1,512
124,124,0.04120629499999495,0.0,1,512
125,125,0.04124529800000687,0.0,1,512
126,126,0.041283903999982385,0.0,1,512
127,127,0.0413246909999998,0.0,1,512
128,128,0.04136368100000709,0.0,1,512
129,129,0.04686527600000545,0.0,1,512
130,130,0.046933770000009645,0.0,1,512
131,131,0.04698359399998253,0.0,1,512
132,132,0.04702897100000314,0.0,1,512
133,133,0.0470710390000022,0.0,1,512
134,134,0.047112214999998514,0.0,1,512
135,135,0.04715290299998287,0.0,1,512
136,136,0.047193362999990995,0.0,1,512
137,137,0.04723370499999646,0.0,1,512
138,138,0.04727351200000385,0.0,1,512
139,139,0.047313408999997364,0.0,1,512
140,140,0.04735332300001005,0.0,1,512
141,141,0.04739328200000159,0.0,1,512
142,142,0.04743313000000171,0.0,1,512
