,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,3.0,8.482600000547791e-05,"[1, 0, 0, 0, 1]",exponential,1,0.005,0.001,0.9999995758700899,1,512
1,1,2.0,0.0010437480000007326,"[1, 0, 0, 1, 1]",exponential,1,0.005,0.001,0.9999947812736176,1,512
2,2,4.0,0.007324449000009281,"[1, 0, 1, 1, 1]",exponential,1,0.005,0.001,0.9999633784255861,1,512
3,4,3.0,0.012131076999992274,"[1, 0, 0, 0, 1]",exponential,1,0.005,0.001,0.9999393464545007,1,512
4,8,0.0,0.017535965000007536,"[1, 0, 0, 1, 0]",exponential,1,0.005,0.001,0.9999123240187635,1,512
5,16,0.0,0.02222689799998534,"[1, 0, 0, 1, 0]",exponential,1,0.005,0.001,0.9998888716852088,1,512
6,32,3.0,0.02756553099999337,"[1, 0, 0, 0, 0]",exponential,1,0.005,0.001,0.999862181842795,1,512
7,64,2.0,0.0333911369999953,"[0, 1, 0, 0, 1]",exponential,1,0.005,0.001,0.9998330582513248,1,512
8,128,0.0,0.04136368100000709,"[1, 0, 0, 1, 0]",exponential,1,0.005,0.001,0.9997932029804519,1,512
9,256,0.0,0.052202335999993466,"[1, 0, 0, 1, 0]",exponential,1,0.005,0.001,0.9997390223805851,1,512
10,512,0.0,0.07035432499998251,"[1, 0, 0, 1, 0]",exponential,1,0.005,0.001,0.999648290239384,1,512
11,0,3.0,5.397199998924407e-05,"[0, 0, 1, 1, 1]",exponential,10,0.005,0.001,9.999997301400365,10,512
12,1,3.0,0.00032151400000657304,"[0, 0, 0, 1, 1]",exponential,10,0.005,0.001,9.999983924312922,10,512
13,2,2.0,0.00784501500001511,"[1, 0, 0, 1, 1]",exponential,10,0.005,0.001,9.99960775694293,10,512
14,4,2.0,0.01507109900001069,"[1, 0, 0, 1, 1]",exponential,10,0.005,0.001,9.99924647344154,10,512
15,8,3.0,0.02258455399999093,"[0, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.99887083605536,10,512
16,16,3.0,0.029594925999987254,"[0, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.998520363177056,10,512
17,32,3.0,0.036585640999987845,"[1, 1, 0, 0, 0]",exponential,10,0.005,0.001,9.99817088525344,10,512
18,64,3.0,0.04449956100000918,"[1, 0, 0, 0, 1]",exponential,10,0.005,0.001,9.997775269458009,10,512
19,128,4.0,0.05453775399999472,"[1, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.997273484062033,10,512
20,256,2.0,0.06730480100000591,"[1, 1, 0, 1, 0]",exponential,10,0.005,0.001,9.996635326128517,10,512
21,512,0.0,0.08635701899999049,"[1, 0, 0, 1, 0]",exponential,10,0.005,0.001,9.995683081107687,10,512
22,0,4.0,4.536800000209951e-05,"[1, 1, 1, 1, 0]",exponential,50,0.005,0.001,49.999988658001286,50,512
23,1,3.0,0.00023900799999410083,"[1, 1, 1, 0, 0]",exponential,50,0.005,0.001,49.999940248035706,50,512
24,2,3.0,0.009311667000019952,"[1, 0, 1, 0, 0]",exponential,50,0.005,0.001,49.99767213744112,50,512
25,4,2.0,0.01960090500000433,"[0, 0, 1, 0, 1]",exponential,50,0.005,0.001,49.99510001386433,50,512
26,8,3.0,0.029974127999992106,"[1, 0, 1, 0, 0]",exponential,50,0.005,0.001,49.99250702950217,50,512
27,16,6.0,0.0393515670000113,"[0, 0, 0, 0, 0]",exponential,50,0.005,0.001,49.99016307602766,50,512
28,32,3.0,0.048889531000014586,"[0, 0, 0, 1, 0]",exponential,50,0.005,0.001,49.98777911099468,50,512
29,64,2.0,0.05887306299999295,"[1, 0, 1, 1, 0]",exponential,50,0.005,0.001,49.985283900310925,50,512
30,128,4.0,0.07048695899999302,"[0, 1, 0, 0, 0]",exponential,50,0.005,0.001,49.98238136514235,50,512
31,256,3.0,0.08515457300001117,"[1, 0, 1, 0, 0]",exponential,50,0.005,0.001,49.97871588817017,50,512
32,512,4.0,0.10666858400000478,"[0, 0, 0, 0, 1]",exponential,50,0.005,0.001,49.97333996410266,50,512
33,0,2.0,4.140600000823724e-05,"[0, 1, 1, 0, 0]",exponential,100,0.005,0.001,99.99997929700214,100,512
34,1,4.0,0.00022565699998722266,"[0, 0, 1, 0, 0]",exponential,100,0.005,0.001,99.99988717156366,100,512
35,2,3.0,0.011792891999988342,"[1, 0, 1, 0, 0]",exponential,100,0.005,0.001,99.99410372783697,100,512
36,4,0.0,0.023474854999989248,"[1, 0, 0, 1, 0]",exponential,100,0.005,0.001,99.98826326130907,100,512
37,8,3.0,0.034883839999992006,"[1, 1, 0, 0, 0]",exponential,100,0.005,0.001,99.98255960101444,100,512
38,16,3.0,0.046333914999991066,"[1, 0, 0, 0, 1]",exponential,100,0.005,0.001,99.97683572583239,100,512
39,32,3.0,0.05802166899999861,"[1, 1, 0, 0, 1]",exponential,100,0.005,0.001,99.97099337323569,100,512
40,64,3.0,0.07078008299998828,"[0, 0, 0, 1, 0]",exponential,100,0.005,0.001,99.96461622003652,100,512
41,128,3.0,0.08547964799998908,"[0, 0, 0, 1, 1]",exponential,100,0.005,0.001,99.95726930816171,100,512
42,256,3.0,0.1031778969999948,"[0, 0, 0, 1, 0]",exponential,100,0.005,0.001,99.94842435631,100,512
43,512,3.0,0.12810928499999363,"[1, 0, 1, 0, 1]",exponential,100,0.005,0.001,99.93596586810656,100,512
44,0,4.0,4.1723999999021544e-05,"[0, 0, 1, 0, 0]",exponential,250,0.005,0.001,249.99994784500547,250,512
45,1,3.0,0.0002247480000221458,"[1, 0, 1, 0, 0]",exponential,250,0.005,0.001,249.99971906515782,250,512
46,2,3.0,0.01479683300001966,"[1, 0, 0, 0, 0]",exponential,250,0.005,0.001,249.9815046429402,250,512
47,4,4.0,0.02909179000002382,"[0, 0, 1, 0, 0]",exponential,250,0.005,0.001,249.96363790716,250,512
48,8,3.0,0.045123813000003565,"[0, 1, 0, 1, 1]",exponential,250,0.005,0.001,249.9436015962668,250,512
49,16,2.0,0.06057055400000877,"[1, 1, 0, 1, 0]",exponential,250,0.005,0.001,249.9242982713177,250,512
50,32,3.0,0.07568855499999927,"[0, 0, 0, 1, 0]",exponential,250,0.005,0.001,249.90540720635863,250,512
51,64,3.0,0.09271588300001099,"[0, 1, 1, 1, 0]",exponential,250,0.005,0.001,249.88413200533364,250,512
52,128,4.0,0.11047275000001378,"[0, 1, 0, 0, 0]",exponential,250,0.005,0.001,249.8619471936929,250,512
53,256,2.0,0.13098965700001486,"[0, 1, 1, 0, 0]",exponential,250,0.005,0.001,249.83631653670287,250,512
54,512,3.0,0.16167338500000028,"[0, 1, 0, 1, 1]",exponential,250,0.005,0.001,249.7979899288804,250,512
55,0,3.0,5.2629999998998755e-05,"[1, 1, 1, 0, 1]",exponential,500,0.005,0.001,499.9998684250173,500,512
56,1,3.0,0.0002659399999913603,"[1, 0, 1, 0, 1]",exponential,500,0.005,0.001,499.99933515044205,500,512
