,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,0.0,0.005262971999997035,"[1, 1, 1, 1, 0]",150,0.4,512
1,1,10.0,0.016903713999994352,"[0, 1, 1, 0, 1]",150,0.4,512
2,2,10.0,0.03214681699998323,"[0, 1, 1, 0, 1]",150,0.4,512
3,4,10.0,0.058167624999981626,"[0, 1, 1, 0, 1]",150,0.4,512
4,8,10.0,0.10699335499998597,"[0, 1, 1, 0, 1]",150,0.4,512
5,16,10.0,0.21057649099998343,"[0, 1, 1, 0, 1]",150,0.4,512
6,32,10.0,0.42391855700000747,"[0, 1, 1, 0, 1]",150,0.4,512
7,64,10.0,0.7918124779999971,"[0, 1, 1, 0, 1]",150,0.4,512
8,128,10.0,1.5179612640000073,"[0, 1, 1, 0, 1]",150,0.4,512
9,256,10.0,2.9913835250000034,"[0, 1, 1, 0, 1]",150,0.4,512
10,512,10.0,5.974136566999988,"[0, 1, 1, 0, 1]",150,0.4,512
11,0,7.0,0.004876827999993338,"[0, 1, 0, 0, 1]",150,0.5,512
12,1,10.0,0.01682116199998518,"[0, 1, 1, 0, 1]",150,0.5,512
13,2,10.0,0.03453040200000146,"[0, 1, 1, 0, 1]",150,0.5,512
14,4,10.0,0.06392769199999293,"[0, 1, 1, 0, 1]",150,0.5,512
15,8,10.0,0.11641269899999429,"[0, 1, 1, 0, 1]",150,0.5,512
16,16,10.0,0.21639068799998995,"[0, 1, 1, 0, 1]",150,0.5,512
17,32,10.0,0.4059221409999907,"[0, 1, 1, 0, 1]",150,0.5,512
18,64,10.0,0.7766918910000129,"[0, 1, 1, 0, 1]",150,0.5,512
19,128,10.0,1.5339609460000077,"[0, 1, 1, 0, 1]",150,0.5,512
20,256,10.0,3.0297288900000012,"[0, 1, 1, 0, 1]",150,0.5,512
21,512,10.0,6.003982315999991,"[0, 1, 1, 0, 1]",150,0.5,512
22,0,0.0,0.00609472100001085,"[0, 0, 0, 0, 0]",150,0.6,512
23,1,10.0,0.02190957900000967,"[0, 1, 1, 0, 1]",150,0.6,512
24,2,10.0,0.050815688000000137,"[0, 1, 1, 0, 1]",150,0.6,512
25,4,10.0,0.09474066800001424,"[0, 1, 1, 0, 1]",150,0.6,512
26,8,10.0,0.15527882899999668,"[0, 1, 1, 0, 1]",150,0.6,512
27,16,10.0,0.25409506500000134,"[0, 1, 1, 0, 1]",150,0.6,512
28,32,10.0,0.44503407400000583,"[0, 1, 1, 0, 1]",150,0.6,512
29,64,10.0,0.8172660070000006,"[0, 1, 1, 0, 1]",150,0.6,512
30,128,10.0,1.5661892770000065,"[0, 1, 1, 0, 1]",150,0.6,512
31,256,10.0,3.060915307000016,"[0, 1, 1, 0, 1]",150,0.6,512
32,512,10.0,6.139808503000012,"[0, 1, 1, 0, 1]",150,0.6,512
33,0,5.0,0.007494077999979254,"[0, 0, 0, 0, 1]",200,0.4,512
34,1,10.0,0.0229372859999728,"[0, 1, 1, 0, 1]",200,0.4,512
35,2,10.0,0.05218828799999642,"[0, 1, 1, 0, 1]",200,0.4,512
36,4,10.0,0.09531387899997412,"[0, 1, 1, 0, 1]",200,0.4,512
37,8,10.0,0.16932572999999707,"[0, 1, 1, 0, 1]",200,0.4,512
38,16,10.0,0.30376254399999425,"[0, 1, 1, 0, 1]",200,0.4,512
39,32,10.0,0.5601298029999953,"[0, 1, 1, 0, 1]",200,0.4,512
40,64,10.0,1.0597848339999985,"[0, 1, 1, 0, 1]",200,0.4,512
41,128,10.0,2.045133020999998,"[0, 1, 1, 0, 1]",200,0.4,512
42,256,10.0,4.041061235000001,"[0, 1, 1, 0, 1]",200,0.4,512
43,512,10.0,7.934698277999985,"[0, 1, 1, 0, 1]",200,0.4,512
44,0,6.0,0.006868537000002561,"[0, 1, 0, 1, 0]",200,0.5,512
45,1,10.0,0.022190977999997585,"[0, 1, 1, 0, 1]",200,0.5,512
46,2,10.0,0.053673848999977736,"[0, 1, 1, 0, 1]",200,0.5,512
47,4,10.0,0.10318973699997969,"[0, 1, 1, 0, 1]",200,0.5,512
48,8,10.0,0.178856718999981,"[0, 1, 1, 0, 1]",200,0.5,512
49,16,10.0,0.31371605199998953,"[0, 1, 1, 0, 1]",200,0.5,512
50,32,10.0,0.5629586029999984,"[0, 1, 1, 0, 1]",200,0.5,512
51,64,10.0,1.0698585779999803,"[0, 1, 1, 0, 1]",200,0.5,512
52,128,10.0,2.067843240000002,"[0, 1, 1, 0, 1]",200,0.5,512
53,256,10.0,4.036351592999978,"[0, 1, 1, 0, 1]",200,0.5,512
54,512,10.0,8.00935737499998,"[0, 1, 1, 0, 1]",200,0.5,512
55,0,0.0,0.006559450999986893,"[1, 0, 0, 0, 1]",200,0.6,512
56,1,10.0,0.02159485000001382,"[0, 1, 1, 0, 1]",200,0.6,512
57,2,10.0,0.055985216000010496,"[0, 1, 1, 0, 1]",200,0.6,512
58,4,10.0,0.10482161400000223,"[0, 1, 1, 0, 1]",200,0.6,512
59,8,10.0,0.18435435699998948,"[0, 1, 1, 0, 1]",200,0.6,512
60,16,10.0,0.32476592200001164,"[0, 1, 1, 0, 1]",200,0.6,512
61,32,10.0,0.591313136999986,"[0, 1, 1, 0, 1]",200,0.6,512
62,64,10.0,1.1051040090000015,"[0, 1, 1, 0, 1]",200,0.6,512
63,128,10.0,2.093501247000006,"[0, 1, 1, 0, 1]",200,0.6,512
64,256,10.0,4.138477123999991,"[0, 1, 1, 0, 1]",200,0.6,512
65,512,10.0,8.182624056000009,"[0, 1, 1, 0, 1]",200,0.6,512
66,0,0.0,0.01010720399997922,"[1, 0, 0, 1, 1]",300,0.4,512
67,1,10.0,0.0326228669999864,"[0, 1, 1, 0, 1]",300,0.4,512
68,2,10.0,0.07794496799999706,"[0, 1, 1, 0, 1]",300,0.4,512
69,4,10.0,0.14596475099997974,"[0, 1, 1, 0, 1]",300,0.4,512
70,8,10.0,0.2629086229999871,"[0, 1, 1, 0, 1]",300,0.4,512
71,16,10.0,0.4691298669999924,"[0, 1, 1, 0, 1]",300,0.4,512
72,32,10.0,0.8525203359999978,"[0, 1, 1, 0, 1]",300,0.4,512
73,64,10.0,1.6015149289999897,"[0, 1, 1, 0, 1]",300,0.4,512
74,128,10.0,3.1138555069999825,"[0, 1, 1, 0, 1]",300,0.4,512
75,256,10.0,6.119089806000005,"[0, 1, 1, 0, 1]",300,0.4,512
