,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.006644660000006297,10.0,True,200,0.25,512
1,1,0.013108686000009584,10.0,True,200,0.25,512
2,2,0.023268680999990465,10.0,True,200,0.25,512
3,3,0.03317644499998096,10.0,True,200,0.25,512
4,4,0.039018469999973604,10.0,True,200,0.25,512
5,5,0.048106039000003875,10.0,True,200,0.25,512
6,6,0.05379776799998126,10.0,True,200,0.25,512
7,7,0.0595058949999725,10.0,True,200,0.25,512
8,8,0.06515143999996553,10.0,True,200,0.25,512
9,9,0.07420897200000809,10.0,True,200,0.25,512
10,10,0.07992329100000006,10.0,True,200,0.25,512
11,11,0.08563927099999091,10.0,True,200,0.25,512
12,12,0.09135561299996198,10.0,True,200,0.25,512
13,13,0.09707322399998475,10.0,True,200,0.25,512
14,14,0.10281760899999881,10.0,True,200,0.25,512
15,15,0.1085369509999623,10.0,True,200,0.25,512
16,16,0.11429873099996257,10.0,True,200,0.25,512
17,17,0.12360544999995682,10.0,True,200,0.25,512
18,18,0.12923185199997533,10.0,True,200,0.25,512
19,19,0.1348798859999647,10.0,True,200,0.25,512
20,20,0.14054049300000315,10.0,True,200,0.25,512
21,21,0.14616011199996137,10.0,True,200,0.25,512
22,22,0.15174687399996856,10.0,True,200,0.25,512
23,23,0.15740599599996585,10.0,True,200,0.25,512
24,24,0.16299726500000133,10.0,True,200,0.25,512
25,25,0.1690963780000061,10.0,True,200,0.25,512
26,26,0.1750110559999598,10.0,True,200,0.25,512
27,27,0.18068728800000144,10.0,True,200,0.25,512
28,28,0.18631650099996477,10.0,True,200,0.25,512
29,29,0.19194886299999325,10.0,True,200,0.25,512
30,30,0.19741241999997783,10.0,True,200,0.25,512
31,31,0.20305346699996107,10.0,True,200,0.25,512
32,32,0.20861072399998193,10.0,True,200,0.25,512
33,33,0.21790112499996894,10.0,True,200,0.25,512
34,34,0.2235632869999904,10.0,True,200,0.25,512
35,35,0.2292687169999681,10.0,True,200,0.25,512
36,36,0.23474476000001232,10.0,True,200,0.25,512
37,37,0.2402523019999876,10.0,True,200,0.25,512
38,38,0.2457450449999783,10.0,True,200,0.25,512
39,39,0.2512757419999616,10.0,True,200,0.25,512
40,40,0.2567763529999638,10.0,True,200,0.25,512
41,41,0.26252278099997284,10.0,True,200,0.25,512
42,42,0.26803772299996353,10.0,True,200,0.25,512
43,43,0.2736997849999625,10.0,True,200,0.25,512
44,44,0.27924312699997245,10.0,True,200,0.25,512
45,45,0.28478461099996366,10.0,True,200,0.25,512
46,46,0.29033119700000043,10.0,True,200,0.25,512
47,47,0.2959519579999892,10.0,True,200,0.25,512
48,48,0.30133920999998054,10.0,True,200,0.25,512
49,49,0.30671823699998413,10.0,True,200,0.25,512
50,50,0.31207659599999715,10.0,True,200,0.25,512
51,51,0.3189578759999563,10.0,True,200,0.25,512
52,52,0.3243319189999738,10.0,True,200,0.25,512
53,53,0.3297193029999903,10.0,True,200,0.25,512
54,54,0.33520055899998624,10.0,True,200,0.25,512
55,55,0.34064786999999797,10.0,True,200,0.25,512
56,56,0.34627592999999024,10.0,True,200,0.25,512
57,57,0.3516901460000099,10.0,True,200,0.25,512
58,58,0.3573974729999918,10.0,True,200,0.25,512
59,59,0.3631384189999949,10.0,True,200,0.25,512
60,60,0.3687734799999589,10.0,True,200,0.25,512
61,61,0.37418301799999654,10.0,True,200,0.25,512
62,62,0.37994668999999703,10.0,True,200,0.25,512
63,63,0.38549101699999255,10.0,True,200,0.25,512
64,64,0.39132231499996806,10.0,True,200,0.25,512
65,65,0.40117669599999317,10.0,True,200,0.25,512
66,66,0.40716852999997855,10.0,True,200,0.25,512
67,67,0.41301814199999853,10.0,True,200,0.25,512
68,68,0.41885825099996055,10.0,True,200,0.25,512
69,69,0.4247182940000016,10.0,True,200,0.25,512
70,70,0.4305308969999828,10.0,True,200,0.25,512
71,71,0.4362063469999953,10.0,True,200,0.25,512
72,72,0.4418750389999673,10.0,True,200,0.25,512
73,73,0.44757254099999955,10.0,True,200,0.25,512
74,74,0.45382136500001025,10.0,True,200,0.25,512
75,75,0.45943147799999906,10.0,True,200,0.25,512
76,76,0.46508876699999746,10.0,True,200,0.25,512
77,77,0.47143446999996286,10.0,True,200,0.25,512
78,78,0.4775419329999977,10.0,True,200,0.25,512
79,79,0.4835886340000002,10.0,True,200,0.25,512
80,80,0.48957216899998457,10.0,True,200,0.25,512
81,81,0.49548932099997955,10.0,True,200,0.25,512
82,82,0.5014343249999911,10.0,True,200,0.25,512
83,83,0.5072013089999814,10.0,True,200,0.25,512
84,84,0.5129149969999958,10.0,True,200,0.25,512
85,85,0.5191430559999617,10.0,True,200,0.25,512
86,86,0.5254168380000124,10.0,True,200,0.25,512
87,87,0.5313773789999914,10.0,True,200,0.25,512
88,88,0.5369940939999651,10.0,True,200,0.25,512
89,89,0.542632857000001,10.0,True,200,0.25,512
90,90,0.548233836999998,10.0,True,200,0.25,512
91,91,0.5537928569999622,10.0,True,200,0.25,512
92,92,0.5594914089999747,10.0,True,200,0.25,512
93,93,0.5654513959999576,10.0,True,200,0.25,512
94,94,0.5727709710000113,10.0,True,200,0.25,512
95,95,0.579320819999964,10.0,True,200,0.25,512
96,96,0.5857174729999883,10.0,True,200,0.25,512
97,97,0.5917148159999783,10.0,True,200,0.25,512
98,98,0.5976837979999914,10.0,True,200,0.25,512
99,99,0.6035632499999792,10.0,True,200,0.25,512
100,100,0.6094623639999668,10.0,True,200,0.25,512
101,101,0.6152969869999652,10.0,True,200,0.25,512
102,102,0.6213318320000099,10.0,True,200,0.25,512
103,103,0.6274776289999977,10.0,True,200,0.25,512
104,104,0.6333602759999621,10.0,True,200,0.25,512
105,105,0.6390908179999997,10.0,True,200,0.25,512
106,106,0.644825921000006,10.0,True,200,0.25,512
107,107,0.650587819000009,10.0,True,200,0.25,512
108,108,0.6563356240000076,10.0,True,200,0.25,512
109,109,0.6621978969999986,10.0,True,200,0.25,512
110,110,0.6680597029999831,10.0,True,200,0.25,512
111,111,0.6741159419999576,10.0,True,200,0.25,512
112,112,0.6799848850000103,10.0,True,200,0.25,512
113,113,0.6858350370000039,10.0,True,200,0.25,512
114,114,0.6916702620000024,10.0,True,200,0.25,512
115,115,0.6975220009999816,10.0,True,200,0.25,512
116,116,0.7033182700000111,10.0,True,200,0.25,512
117,117,0.7091808549999996,10.0,True,200,0.25,512
118,118,0.714989920999983,10.0,True,200,0.25,512
119,119,0.7208595010000067,10.0,True,200,0.25,512
120,120,0.7267158889999905,10.0,True,200,0.25,512
121,121,0.7325486599999635,10.0,True,200,0.25,512
122,122,0.738400463000005,10.0,True,200,0.25,512
123,123,0.7442665559999568,10.0,True,200,0.25,512
124,124,0.7501272719999861,10.0,True,200,0.25,512
125,125,0.7560620950000043,10.0,True,200,0.25,512
126,126,0.7618684689999782,10.0,True,200,0.25,512
127,127,0.7678158150000058,10.0,True,200,0.25,512
128,128,0.7736855939999714,10.0,True,200,0.25,512
129,129,0.7842647539999916,10.0,True,200,0.25,512
130,130,0.7902315499999872,10.0,True,200,0.25,512
131,131,0.7961097229999723,10.0,True,200,0.25,512
132,132,0.8017591779999975,10.0,True,200,0.25,512
133,133,0.807708545999958,10.0,True,200,0.25,512
134,134,0.813668186999962,10.0,True,200,0.25,512
135,135,0.8202345720000039,10.0,True,200,0.25,512
136,136,0.8260743999999818,10.0,True,200,0.25,512
137,137,0.8321774730000016,10.0,True,200,0.25,512
138,138,0.8379695099999935,10.0,True,200,0.25,512
139,139,0.8439777699999809,10.0,True,200,0.25,512
140,140,0.8496296609999945,10.0,True,200,0.25,512
141,141,0.8556239419999656,10.0,True,200,0.25,512
142,142,0.8617648169999939,10.0,True,200,0.25,512
143,143,0.8675342199999818,10.0,True,200,0.25,512
144,144,0.8732303909999928,10.0,True,200,0.25,512
145,145,0.8791104789999622,10.0,True,200,0.25,512
146,146,0.8849291089999838,10.0,True,200,0.25,512
147,147,0.8907155769999804,10.0,True,200,0.25,512
148,148,0.8965776139999662,10.0,True,200,0.25,512
149,149,0.9024861240000064,10.0,True,200,0.25,512
150,150,0.9083845039999687,10.0,True,200,0.25,512
151,151,0.9141399970000066,10.0,True,200,0.25,512
152,152,0.9202366039999674,10.0,True,200,0.25,512
153,153,0.9262475360000053,10.0,True,200,0.25,512
154,154,0.9322058049999669,10.0,True,200,0.25,512
155,155,0.937808648999976,10.0,True,200,0.25,512
156,156,0.9436430060000021,10.0,True,200,0.25,512
157,157,0.9495160639999654,10.0,True,200,0.25,512
158,158,0.9554297469999824,10.0,True,200,0.25,512
159,159,0.9614061679999963,10.0,True,200,0.25,512
160,160,0.9676279079999972,10.0,True,200,0.25,512
161,161,0.9736032550000004,10.0,True,200,0.25,512
162,162,0.979664884999977,10.0,True,200,0.25,512
163,163,0.9852826039999627,10.0,True,200,0.25,512
164,164,0.9914014589999738,10.0,True,200,0.25,512
165,165,0.9973853359999794,10.0,True,200,0.25,512
166,166,1.0032957899999815,10.0,True,200,0.25,512
167,167,1.0089014870000028,10.0,True,200,0.25,512
168,168,1.0146610989999658,10.0,True,200,0.25,512
169,169,1.0215558069999702,10.0,True,200,0.25,512
170,170,1.0275915199999872,10.0,True,200,0.25,512
171,171,1.0340949579999688,10.0,True,200,0.25,512
172,172,1.0404247879999957,10.0,True,200,0.25,512
173,173,1.0470523179999986,10.0,True,200,0.25,512
174,174,1.0530538909999905,10.0,True,200,0.25,512
175,175,1.0589644179999596,10.0,True,200,0.25,512
176,176,1.0647228409999911,10.0,True,200,0.25,512
177,177,1.0716683499999817,10.0,True,200,0.25,512
178,178,1.0781565949999958,10.0,True,200,0.25,512
179,179,1.084237332999976,10.0,True,200,0.25,512
180,180,1.0902261919999887,10.0,True,200,0.25,512
181,181,1.0962014199999999,10.0,True,200,0.25,512
182,182,1.1021332809999649,10.0,True,200,0.25,512
183,183,1.1081166479999638,10.0,True,200,0.25,512
184,184,1.1139062729999978,10.0,True,200,0.25,512
185,185,1.1199465919999625,10.0,True,200,0.25,512
186,186,1.1259908499999938,10.0,True,200,0.25,512
187,187,1.1319790989999774,10.0,True,200,0.25,512
188,188,1.137818951999975,10.0,True,200,0.25,512
189,189,1.1438000089999605,10.0,True,200,0.25,512
190,190,1.1497830189999831,10.0,True,200,0.25,512
191,191,1.1557330260000072,10.0,True,200,0.25,512
192,192,1.1614951579999797,10.0,True,200,0.25,512
193,193,1.167402587999959,10.0,True,200,0.25,512
194,194,1.1735252589999732,10.0,True,200,0.25,512
195,195,1.1794490720000113,10.0,True,200,0.25,512
196,196,1.1853703439999776,10.0,True,200,0.25,512
197,197,1.1913916979999613,10.0,True,200,0.25,512
198,198,1.1972067289999586,10.0,True,200,0.25,512
199,199,1.2031144879999829,10.0,True,200,0.25,512
200,200,1.2087853840000093,10.0,True,200,0.25,512
201,201,1.2145532559999879,10.0,True,200,0.25,512
202,202,1.2203918799999656,10.0,True,200,0.25,512
203,203,1.226798859999974,10.0,True,200,0.25,512
204,204,1.2329100590000053,10.0,True,200,0.25,512
205,205,1.2389693719999855,10.0,True,200,0.25,512
206,206,1.2450712639999892,10.0,True,200,0.25,512
207,207,1.2510633299999654,10.0,True,200,0.25,512
208,208,1.2568589609999776,10.0,True,200,0.25,512
209,209,1.2628263739999852,10.0,True,200,0.25,512
210,210,1.2688403059999587,10.0,True,200,0.25,512
211,211,1.274763299999961,10.0,True,200,0.25,512
212,212,1.2816585699999905,10.0,True,200,0.25,512
213,213,1.2874625619999733,10.0,True,200,0.25,512
214,214,1.2932415699999638,10.0,True,200,0.25,512
215,215,1.2989724009999577,10.0,True,200,0.25,512
216,216,1.304720290999967,10.0,True,200,0.25,512
217,217,1.3105538449999585,10.0,True,200,0.25,512
218,218,1.3164383760000078,10.0,True,200,0.25,512
219,219,1.3223949700000048,10.0,True,200,0.25,512
220,220,1.3283550140000102,10.0,True,200,0.25,512
221,221,1.3341613559999814,10.0,True,200,0.25,512
222,222,1.339893042999961,10.0,True,200,0.25,512
223,223,1.3456026729999735,10.0,True,200,0.25,512
224,224,1.3513364449999585,10.0,True,200,0.25,512
225,225,1.3571021770000016,10.0,True,200,0.25,512
226,226,1.3629455899999812,10.0,True,200,0.25,512
227,227,1.3687378490000128,10.0,True,200,0.25,512
228,228,1.3745645019999984,10.0,True,200,0.25,512
229,229,1.3805173869999976,10.0,True,200,0.25,512
