,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,4.0,0.006644660000006297,"[1, 0, 1, 0, 0]",True,200,0.25,512
1,1,10.0,0.013108686000009584,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
2,2,10.0,0.023268680999990465,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
3,4,10.0,0.039018469999973604,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
4,8,10.0,0.06515143999996553,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
5,16,10.0,0.11429873099996257,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
6,32,10.0,0.20861072399998193,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
7,64,10.0,0.39132231499996806,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
8,128,10.0,0.7736855939999714,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
9,256,10.0,1.536077739999996,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
10,512,10.0,3.0026716389999706,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.25,512
11,0,0.0,0.007964987000036672,"[1, 1, 1, 0, 1]",True,200,0.5,512
12,1,10.0,0.014453128000013749,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
13,2,10.0,0.02765229400000635,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
14,4,10.0,0.046048493999990114,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
15,8,10.0,0.07770212700000911,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
16,16,10.0,0.13281882000001133,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
17,32,10.0,0.2350572280000165,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
18,64,10.0,0.42755343999999695,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
19,128,10.0,0.8168973500000334,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
20,256,10.0,1.5995978930000092,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
21,512,10.0,3.079000258999997,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.5,512
22,0,6.0,0.006804366999972444,"[1, 1, 1, 0, 0]",True,200,0.75,512
23,1,10.0,0.013309032999984538,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
24,2,10.0,0.029458338999972966,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
25,4,10.0,0.05148996099995884,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
26,8,10.0,0.08723835499995403,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
27,16,10.0,0.14654446399998733,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
28,32,10.0,0.25600236299999324,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
29,64,10.0,0.4614848459999621,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
30,128,10.0,0.8514631789999498,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
31,256,10.0,1.6219215569999506,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
32,512,10.0,3.1125421879999635,"[0.0, 1.0, 1.0, 0.0, 1.0]",True,200,0.75,512
