,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,0.0,0.000103731999999912,"[1, 1, 1, 1, 0]",25,512,0
1,1,7.0,0.00037042999999981063,"[1, 1, 0, 1, 0]",25,512,0
2,2,7.0,0.03830651600000001,"[1, 1, 0, 1, 0]",25,512,0
3,4,7.0,0.043082843999999954,"[1, 1, 0, 1, 0]",25,512,0
4,8,7.0,0.047738261999999976,"[1, 1, 0, 1, 0]",25,512,0
5,16,7.0,0.05287501699999986,"[1, 1, 0, 1, 0]",25,512,0
6,32,7.0,0.05830158399999985,"[1, 1, 0, 1, 0]",25,512,0
7,64,7.0,0.06442635699999988,"[1, 1, 0, 1, 0]",25,512,0
8,128,7.0,0.07348333399999984,"[1, 1, 0, 1, 0]",25,512,0
9,256,7.0,0.08690852999999987,"[1, 1, 0, 1, 0]",25,512,0
10,512,7.0,0.11226192099999999,"[1, 1, 0, 1, 0]",25,512,0
11,0,4.0,0.1198159299999999,"[1, 0, 1, 0, 0]",25,512,1
12,1,4.0,0.12005225799999986,"[1, 0, 1, 0, 0]",25,512,1
13,2,4.0,0.12624958499999983,"[1, 0, 1, 0, 0]",25,512,1
14,4,8.0,0.13248298199999997,"[1, 0, 1, 1, 0]",25,512,1
15,8,8.0,0.13890440799999992,"[1, 0, 1, 1, 0]",25,512,1
16,16,8.0,0.14550328,"[1, 0, 1, 1, 0]",25,512,1
17,32,8.0,0.15306543099999992,"[1, 0, 1, 1, 0]",25,512,1
18,64,8.0,0.16178130299999993,"[1, 0, 1, 1, 0]",25,512,1
19,128,8.0,0.173588101,"[1, 0, 1, 1, 0]",25,512,1
20,256,8.0,0.19150035399999998,"[1, 0, 1, 1, 0]",25,512,1
21,512,8.0,0.22350496799999986,"[1, 0, 1, 1, 0]",25,512,1
22,0,8.0,0.23280914399999997,"[0, 0, 1, 0, 1]",25,512,2
23,1,8.0,0.23311035999999996,"[0, 0, 1, 0, 1]",25,512,2
24,2,8.0,0.2420944599999999,"[0, 0, 1, 0, 1]",25,512,2
25,4,8.0,0.2510549919999998,"[0, 0, 1, 0, 1]",25,512,2
26,8,8.0,0.2598338709999999,"[0, 0, 1, 0, 1]",25,512,2
27,16,10.0,0.269131475,"[0, 1, 1, 0, 1]",25,512,2
28,32,10.0,0.28000152599999995,"[0, 1, 1, 0, 1]",25,512,2
29,64,10.0,0.29274118799999993,"[0, 1, 1, 0, 1]",25,512,2
30,128,10.0,0.308636688,"[0, 1, 1, 0, 1]",25,512,2
31,256,10.0,0.3321823989999999,"[0, 1, 1, 0, 1]",25,512,2
32,512,10.0,0.37515707899999984,"[0, 1, 1, 0, 1]",25,512,2
33,0,5.0,0.3884459969999998,"[1, 0, 0, 1, 0]",25,512,3
34,1,7.0,0.388763116,"[1, 1, 0, 1, 0]",25,512,3
35,2,7.0,0.4005157309999998,"[1, 1, 0, 1, 0]",25,512,3
36,4,7.0,0.41256705299999985,"[1, 1, 0, 1, 0]",25,512,3
37,8,7.0,0.42513949399999995,"[1, 1, 0, 1, 0]",25,512,3
38,16,7.0,0.440076817,"[1, 1, 0, 1, 0]",25,512,3
39,32,7.0,0.4558294789999999,"[1, 1, 0, 1, 0]",25,512,3
40,64,7.0,0.4743611969999999,"[1, 1, 0, 1, 0]",25,512,3
41,128,7.0,0.49710584299999994,"[1, 1, 0, 1, 0]",25,512,3
42,256,7.0,0.5275925129999999,"[1, 1, 0, 1, 0]",25,512,3
43,512,7.0,0.5894218900000001,"[1, 1, 0, 1, 0]",25,512,3
44,0,0.0,0.6062782950000001,"[1, 1, 1, 1, 1]",25,512,4
45,1,0.0,0.6066559169999999,"[1, 1, 1, 1, 1]",25,512,4
46,2,0.0,0.623479229,"[1, 1, 1, 1, 1]",25,512,4
47,4,0.0,0.6403205659999998,"[1, 1, 1, 1, 1]",25,512,4
48,8,0.0,0.657438478,"[1, 1, 1, 1, 1]",25,512,4
49,16,0.0,0.67506887,"[1, 1, 1, 1, 1]",25,512,4
50,32,0.0,0.6933668219999998,"[1, 1, 1, 1, 1]",25,512,4
51,64,0.0,0.7129908999999999,"[1, 1, 1, 1, 1]",25,512,4
52,128,0.0,0.7389314639999998,"[1, 1, 1, 1, 1]",25,512,4
53,256,0.0,0.7779801049999997,"[1, 1, 1, 1, 1]",25,512,4
54,512,0.0,0.8408699939999997,"[1, 1, 1, 1, 1]",25,512,4
55,0,5.0,0.857979373,"[0, 0, 0, 0, 1]",25,512,5
56,1,9.0,0.8583311999999998,"[0, 0, 0, 1, 1]",25,512,5
57,2,9.0,0.8751943689999999,"[0, 0, 0, 1, 1]",25,512,5
58,4,9.0,0.8942712829999997,"[0, 0, 0, 1, 1]",25,512,5
59,8,9.0,0.9117478649999997,"[0, 0, 0, 1, 1]",25,512,5
60,16,9.0,0.93360135,"[0, 0, 0, 1, 1]",25,512,5
61,32,9.0,0.9545718599999997,"[0, 0, 0, 1, 1]",25,512,5
62,64,9.0,0.978432416,"[0, 0, 0, 1, 1]",25,512,5
63,128,9.0,1.008594166,"[0, 0, 0, 1, 1]",25,512,5
64,256,9.0,1.052648396,"[0, 0, 0, 1, 1]",25,512,5
65,512,9.0,1.12668532,"[0, 0, 0, 1, 1]",25,512,5
66,0,0.0,1.1470527169999998,"[1, 0, 1, 0, 1]",25,512,6
67,1,8.0,1.1474529969999998,"[0, 0, 1, 0, 1]",25,512,6
68,2,8.0,1.1667295099999997,"[0, 0, 1, 0, 1]",25,512,6
69,4,8.0,1.187943646,"[0, 0, 1, 0, 1]",25,512,6
70,8,8.0,1.208191609,"[0, 0, 1, 0, 1]",25,512,6
71,16,8.0,1.230002259,"[0, 0, 1, 0, 1]",25,512,6
72,32,10.0,1.253371761,"[0, 1, 1, 0, 1]",25,512,6
73,64,10.0,1.2804015519999998,"[0, 1, 1, 0, 1]",25,512,6
74,128,10.0,1.3176692509999999,"[0, 1, 1, 0, 1]",25,512,6
75,256,10.0,1.369744371,"[0, 1, 1, 0, 1]",25,512,6
76,512,10.0,1.458758085,"[0, 1, 1, 0, 1]",25,512,6
77,0,5.0,1.4837271419999998,"[0, 1, 1, 0, 0]",25,512,7
78,1,5.0,1.4842229489999998,"[0, 1, 1, 0, 0]",25,512,7
79,2,10.0,1.50990481,"[0, 1, 1, 0, 1]",25,512,7
80,4,10.0,1.5361703649999998,"[0, 1, 1, 0, 1]",25,512,7
81,8,10.0,1.561098602,"[0, 1, 1, 0, 1]",25,512,7
82,16,10.0,1.5874943039999998,"[0, 1, 1, 0, 1]",25,512,7
83,32,10.0,1.6141180779999997,"[0, 1, 1, 0, 1]",25,512,7
84,64,10.0,1.645380194,"[0, 1, 1, 0, 1]",25,512,7
85,128,10.0,1.684347044,"[0, 1, 1, 0, 1]",25,512,7
86,256,10.0,1.7407389219999998,"[0, 1, 1, 0, 1]",25,512,7
87,512,10.0,1.834868824,"[0, 1, 1, 0, 1]",25,512,7
88,0,5.0,1.860455182,"[0, 1, 1, 0, 0]",25,512,8
89,1,5.0,1.8608985849999997,"[0, 1, 1, 0, 0]",25,512,8
90,2,6.0,1.891981479,"[1, 1, 1, 0, 0]",25,512,8
91,4,6.0,1.9175251009999998,"[1, 1, 1, 0, 0]",25,512,8
92,8,6.0,1.9451493379999998,"[1, 1, 1, 0, 0]",25,512,8
93,16,6.0,1.973211986,"[1, 1, 1, 0, 0]",25,512,8
94,32,6.0,2.005963492,"[1, 1, 1, 0, 0]",25,512,8
95,64,6.0,2.04050603,"[1, 1, 1, 0, 0]",25,512,8
96,128,6.0,2.084547136,"[1, 1, 1, 0, 0]",25,512,8
97,256,6.0,2.1486946149999997,"[1, 1, 1, 0, 0]",25,512,8
98,512,6.0,2.254024048,"[1, 1, 1, 0, 0]",25,512,8
99,0,0.0,2.282030049,"[1, 0, 1, 1, 1]",25,512,9
100,1,0.0,2.282510626,"[1, 0, 1, 1, 1]",25,512,9
101,2,0.0,2.312125708,"[1, 0, 1, 1, 1]",25,512,9
102,4,8.0,2.340418292,"[1, 0, 1, 1, 0]",25,512,9
103,8,8.0,2.367999978,"[1, 0, 1, 1, 0]",25,512,9
104,16,8.0,2.404126036,"[1, 0, 1, 1, 0]",25,512,9
105,32,8.0,2.437622019,"[1, 0, 1, 1, 0]",25,512,9
106,64,8.0,2.4755573109999998,"[1, 0, 1, 1, 0]",25,512,9
107,128,8.0,2.523655906,"[1, 0, 1, 1, 0]",25,512,9
108,256,8.0,2.592341545,"[1, 0, 1, 1, 0]",25,512,9
109,512,8.0,2.7056869489999995,"[1, 0, 1, 1, 0]",25,512,9
110,0,0.0,2.735806599,"[0, 1, 1, 1, 1]",25,512,10
111,1,0.0,2.7363098,"[0, 1, 1, 1, 1]",25,512,10
112,2,9.0,2.7671227099999998,"[0, 1, 1, 1, 0]",25,512,10
113,4,9.0,2.798111436,"[0, 1, 1, 1, 0]",25,512,10
114,8,9.0,2.830705988,"[0, 1, 1, 1, 0]",25,512,10
115,16,9.0,2.8640739899999996,"[0, 1, 1, 1, 0]",25,512,10
116,32,9.0,2.9032811030000003,"[0, 1, 1, 1, 0]",25,512,10
117,64,9.0,2.949388163,"[0, 1, 1, 1, 0]",25,512,10
118,128,9.0,3.003735795,"[0, 1, 1, 1, 0]",25,512,10
119,256,9.0,3.08095417,"[0, 1, 1, 1, 0]",25,512,10
