,Iteration,Time,Fitness,Temperature,max_iters
0,0,7.711399999266177e-05,9.0,1,512
1,1,0.0003223139999875002,9.0,1,512
2,2,0.004051742999990893,9.0,1,512
3,3,0.0074765070000069045,9.0,1,512
4,4,0.007606008999999858,9.0,1,512
5,5,0.01132789700000103,9.0,1,512
6,6,0.011389823999991222,7.0,1,512
7,7,0.0114707570000121,7.0,1,512
8,8,0.011524234000006572,8.0,1,512
9,9,0.015023672000012311,8.0,1,512
10,10,0.015083220999997593,8.0,1,512
11,11,0.015136635999994041,8.0,1,512
12,12,0.015191073000011102,8.0,1,512
13,13,0.015241857000006576,8.0,1,512
14,14,0.015291738000001942,8.0,1,512
15,15,0.015341252000013128,8.0,1,512
16,16,0.015392171000002008,8.0,1,512
17,17,0.01893297399999483,8.0,1,512
18,18,0.018993845000011333,8.0,1,512
19,19,0.019051044999997657,8.0,1,512
20,20,0.01910604400001148,8.0,1,512
21,21,0.01915722100000039,8.0,1,512
22,22,0.019210109999988845,8.0,1,512
23,23,0.019260180000003402,8.0,1,512
24,24,0.019310141000005387,8.0,1,512
25,25,0.019361760999998978,8.0,1,512
26,26,0.019411281000003555,8.0,1,512
27,27,0.01946250800000371,7.0,1,512
28,28,0.01953722499999344,7.0,1,512
29,29,0.01958941199998776,7.0,1,512
30,30,0.019642237999988765,7.0,1,512
31,31,0.019692225000000008,7.0,1,512
32,32,0.01974261500001262,8.0,1,512
33,33,0.023547213999989935,8.0,1,512
34,34,0.023611643999998932,8.0,1,512
35,35,0.023669605000009142,8.0,1,512
36,36,0.0237247679999939,8.0,1,512
37,37,0.023777921999993623,8.0,1,512
38,38,0.023828957000006312,8.0,1,512
39,39,0.023879453999995803,8.0,1,512
40,40,0.023929670000001124,8.0,1,512
41,41,0.0239794839999945,8.0,1,512
42,42,0.024029328000011674,8.0,1,512
43,43,0.024081485000010616,8.0,1,512
44,44,0.024134532999994462,8.0,1,512
45,45,0.02418698700000732,8.0,1,512
46,46,0.024239074000007577,8.0,1,512
47,47,0.024291986999998016,8.0,1,512
48,48,0.024342560000008007,8.0,1,512
49,49,0.0243928399999902,8.0,1,512
50,50,0.024443230000002814,8.0,1,512
51,51,0.024495623999996496,8.0,1,512
52,52,0.02454839600000014,8.0,1,512
53,53,0.024599472000005562,8.0,1,512
54,54,0.024652056999997285,8.0,1,512
55,55,0.0247027689999868,8.0,1,512
56,56,0.024755618000000368,8.0,1,512
57,57,0.02480833800001392,8.0,1,512
58,58,0.024861277000013615,8.0,1,512
59,59,0.02491363900000465,8.0,1,512
60,60,0.024964861999990262,8.0,1,512
61,61,0.02501602300000627,8.0,1,512
62,62,0.025069067999993422,8.0,1,512
63,63,0.02512204199999246,8.0,1,512
64,64,0.025175735000004806,8.0,1,512
65,65,0.028950247000011586,8.0,1,512
66,66,0.02901686199999176,8.0,1,512
67,67,0.0290744350000125,8.0,1,512
68,68,0.029129248000003827,8.0,1,512
69,69,0.029182479000013473,8.0,1,512
70,70,0.029235184000015124,8.0,1,512
71,71,0.029290024999994557,7.0,1,512
72,72,0.029367747000009103,9.0,1,512
73,73,0.029443584999995664,9.0,1,512
74,74,0.029496929000004002,9.0,1,512
75,75,0.0295517590000145,9.0,1,512
76,76,0.029606046999987257,9.0,1,512
77,77,0.029658234000009998,9.0,1,512
78,78,0.029712904000007256,9.0,1,512
79,79,0.029767437999993263,9.0,1,512
80,80,0.029822001000013643,9.0,1,512
81,81,0.0298766710000109,9.0,1,512
82,82,0.02993134299998701,9.0,1,512
83,83,0.02998416799999859,9.0,1,512
84,84,0.030039195000000518,9.0,1,512
85,85,0.030092125999999553,9.0,1,512
86,86,0.030146801000000778,9.0,1,512
87,87,0.030199498999991192,9.0,1,512
88,88,0.030252066999992167,9.0,1,512
89,89,0.030311939999990045,9.0,1,512
90,90,0.030367003999998587,7.0,1,512
91,91,0.03044428399999788,8.0,1,512
92,92,0.03051830199999017,8.0,1,512
93,93,0.030571357000013677,8.0,1,512
94,94,0.030626571999988528,8.0,1,512
