,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,0.0,7.711399999266177e-05,"[0, 1, 1, 1, 1]",exponential,1,0.005,0.001,0.9999996144300743,1,512
1,1,9.0,0.0003223139999875002,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.9999983884312986,1,512
2,2,9.0,0.004051742999990893,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.9999797414902064,1,512
3,4,9.0,0.007606008999999858,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.999961970678133,1,512
4,8,7.0,0.011524234000006572,"[0, 0, 1, 1, 0]",exponential,1,0.005,0.001,0.9999423804900677,1,512
5,16,8.0,0.015392171000002008,"[1, 0, 1, 1, 0]",exponential,1,0.005,0.001,0.9999230421064106,1,512
6,32,7.0,0.01974261500001262,"[0, 0, 1, 1, 0]",exponential,1,0.005,0.001,0.9999012917969752,1,512
7,64,8.0,0.025175735000004806,"[1, 0, 1, 1, 0]",exponential,1,0.005,0.001,0.9998741292473879,1,512
8,128,9.0,0.032554846000010684,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.9998372390170062,1,512
9,256,9.0,0.04554316299999073,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.9997723101102783,1,512
10,512,9.0,0.06920311199999674,"[0, 1, 1, 1, 0]",exponential,1,0.005,0.001,0.99965404429648,1,512
11,0,6.0,6.5623000011783e-05,"[0, 1, 0, 1, 0]",exponential,10,0.005,0.001,9.999996718850538,10,512
12,1,9.0,0.0002941810000152145,"[0, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.999985290960817,10,512
13,2,6.0,0.006622564000025477,"[0, 1, 0, 1, 0]",exponential,10,0.005,0.001,9.999668877282232,10,512
14,4,5.0,0.012848528000006354,"[0, 1, 1, 0, 0]",exponential,10,0.005,0.001,9.999357594235143,10,512
15,8,9.0,0.019297406000021056,"[0, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.999035176247236,10,512
16,16,9.0,0.025952181999997492,"[0, 1, 1, 1, 0]",exponential,10,0.005,0.001,9.998702475085828,10,512
17,32,6.0,0.03329819900000075,"[0, 1, 0, 1, 0]",exponential,10,0.005,0.001,9.998335228638565,10,512
